Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Unnamed: 12,Prediction Mean,Prediction STD,Phenotype,Binary Prediction Mean
Myroides odoratimimus CCUG 3837 (883153.3),Myroides odoratimimus CCUG 3837 ,883153,883153.3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides, Myroides odoratimimus, Myroides odoratimimus CCUG 3837,,,,,
Neisseria sicca BEED21 (490.24),Neisseria sicca BEED21 ,490,490.24,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria, Neisseria sicca, Neisseria sicca BEED21,,,,,
Neisseria subflava BEED22 (28449.60),Neisseria subflava BEED22 ,28449,28449.6,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria, Neisseria subflava, Neisseria subflava BEED22,,,,,
Neisseria subflava BEED23 (28449.61),Neisseria subflava BEED23 ,28449,28449.61,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria, Neisseria subflava, Neisseria subflava BEED23,,,,,
Prevotella melaninogenica BEED24 (28132.6),Prevotella melaninogenica BEED24 ,28132,28132.6,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella, Prevotella melaninogenica, Prevotella melaninogenica BEED24,,,,,
Prevotella sp. BEED25 (838.107),Prevotella sp. BEED25 ,838,838.107,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,-, Prevotella sp. BEED25,,,,,
Rothia dentocariosa BEED26 (2047.141),Rothia dentocariosa BEED26 ,2047,2047.141,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia, Rothia dentocariosa, Rothia dentocariosa BEED26,,,,,
Rothia mucilaginosa BEED27 (43675.207),Rothia mucilaginosa BEED27 ,43675,43675.207,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia, Rothia mucilaginosa, Rothia mucilaginosa BEED27,,,,,
Staphylococcus aureus BEED30 (1280.19125),Staphylococcus aureus BEED30 ,1280,1280.19125,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus, Staphylococcus aureus, Staphylococcus aureus BEED30,,,,,
Streptococcus  sp. BEED32 (1301.176),Streptococcus  sp. BEED32 ,1301,1301.176,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-, Streptococcus sp. BEED32,,,,,
Streptococcus agalactiae BEED28 (1311.1914),Streptococcus agalactiae BEED28 ,1311,1311.1914,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, Streptococcus agalactiae,  Streptococcus agalactiae BEED28,,,,,
Streptococcus anginosus BEED29 (1328.83),Streptococcus anginosus BEED29 ,1328,1328.83,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, Streptococcus anginosus, Streptococcus anginosus BEED29,,,,,
Streptococcus dysgalactiae BEED31 (1334.143),Streptococcus dysgalactiae BEED31 ,1334,1334.143,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, Streptococcus dysgalactiae, Streptococcus dysgalactiae BEED31,,,,,
Streptococcus mutans BEED33 (1309.148),Streptococcus mutans BEED33 ,1309,1309.148,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, Streptococcus mutans, Streptococcus mutans BEED33,,,,,
Streptococcus parasanguinis BEED34 (1318.171),Streptococcus parasanguinis BEED34 ,1318,1318.171,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, Streptococcus parasanguinis, Streptococcus parasanguinis BEED34,,,,,
Streptococcus pneumoniae BEED35 (1313.16321),Streptococcus pneumoniae BEED35 ,1313,1313.16321,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, Streptococcus pneumoniae, Streptococcus pneumoniae BEED35,,,,,
Streptococcus salivarius BEED36 (1304.573),Streptococcus salivarius BEED36 ,1304,1304.573,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, Streptococcus salivarius, Streptococcus salivarius BEED36,,,,,
Streptococcus thermophilus BEED37 (1308.608),Streptococcus thermophilus BEED37 ,1308,1308.608,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus, Streptococcus thermophilus, Streptococcus thermophilus BEED37,,,,,
Veillonella atypica BEED38 (39777.37),Veillonella atypica BEED38 ,39777,39777.37,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella, Veillonella atypica, Veillonella atypica BEED38,,,,,
Veillonella parvula BEED39 (29466.153),Veillonella parvula BEED39 ,29466,29466.153,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella, Veillonella atypica, Veillonella atypica BEED38,,,,,
Xylophilus ampelinus BEED09 (54067.6),Xylophilus ampelinus BEED09 ,54067,54067.6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,-,Xylophilus, Xylophilus ampelinus, Xylophilus ampelinus BEED09,,,,,
