Organism (genomeID),Organism,TaxID,SEED_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,Unnamed: 12,Prediction Mean,Prediction STD,Phenotype,Binary Prediction Mean
Acinetobacter lwoffii NIPH 478 (1217668.3),Acinetobacter lwoffii NIPH 478 ,1217668,1217668.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter lwoffii, Acinetobacter lwoffii NIPH 478,,0.967041015625,0.0254480739052019,Human Pathogenic,1.0
Acinetobacter lwoffii NIPH 715 (1217669.3),Acinetobacter lwoffii NIPH 715 ,1217669,1217669.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter lwoffii, Acinetobacter lwoffii NIPH 715,,0.922607421875,0.0348095220254302,Human Pathogenic,1.0
Acinetobacter lwoffii SH145 (575588.3),Acinetobacter lwoffii SH145 ,575588,575588.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter lwoffii, Acinetobacter lwoffii SH145,,0.9124755859375,0.0717352919107614,Human Pathogenic,1.0
Acinetobacter lwoffii WJ10621 (1046625.3),Acinetobacter lwoffii WJ10621 ,1046625,1046625.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter lwoffii, Acinetobacter lwoffii WJ10621,,0.9840087890625,0.0065543914837201,Human Pathogenic,1.0
Acinetobacter nosocomialis NIPH 2119 (1217670.3),Acinetobacter nosocomialis NIPH 2119 ,1217670,1217670.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter nosocomialis, Acinetobacter nosocomialis NIPH 2119,,0.9871826171875,0.0076923670674746,Human Pathogenic,1.0
Acinetobacter pittii ANC 4050 (1217691.3),Acinetobacter pittii ANC 4050 ,1217691,1217691.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii, Acinetobacter pittii ANC 4050,,0.9921875,0.0042846505797813,Human Pathogenic,1.0
Acinetobacter pittii ANC 4052 (1217689.3),Acinetobacter pittii ANC 4052 ,1217689,1217689.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii, Acinetobacter pittii ANC 4052,,0.9908447265625,0.0027048974372754,Human Pathogenic,1.0
Acinetobacter pittii strain AP_882 (48296.83),Acinetobacter pittii strain AP_882 ,48296,48296.83,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii,,,0.988525390625,0.007944892624645,Human Pathogenic,1.0
Acinetobacter pittii strain IEC338SC (48296.84),Acinetobacter pittii strain IEC338SC ,48296,48296.84,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii,,,0.9847412109375,0.0098348074363083,Human Pathogenic,1.0
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.6),Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 ,981334,981334.6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter radioresistens, Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,,0.980712890625,0.0063897716446789,Human Pathogenic,1.0
Acinetobacter radioresistens NIPH 2130 (1217674.3),Acinetobacter radioresistens NIPH 2130 ,1217674,1217674.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter radioresistens, Acinetobacter radioresistens NIPH 2130,,0.9796142578125,0.0068566145849529,Human Pathogenic,1.0
Acinetobacter radioresistens SH164 (575589.3),Acinetobacter radioresistens SH164 ,575589,575589.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter radioresistens, Acinetobacter radioresistens SH164,,0.9671630859375,0.0119373281975811,Human Pathogenic,1.0
Acinetobacter radioresistens SK82 (596318.3),Acinetobacter radioresistens SK82 ,596318,596318.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter radioresistens, Acinetobacter radioresistens SK82,,0.97021484375,0.0090166920471774,Human Pathogenic,1.0
Acinetobacter sp. 6013113 (592014.3),Acinetobacter sp. 6013113 ,592014,592014.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii 6013113,,0.988037109375,0.0064084007560579,Human Pathogenic,1.0
Acinetobacter sp. 6013150 (525243.3),Acinetobacter sp. 6013150 ,525243,525243.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii 6013150,,0.9906005859375,0.0059238699016361,Human Pathogenic,1.0
Acinetobacter sp. 6014059 (525242.3),Acinetobacter sp. 6014059 ,525242,525242.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter baumannii, Acinetobacter baumannii 6014059,,0.99169921875,0.0044350346983849,Human Pathogenic,1.0
Acinetobacter sp. ATCC 27244 (525244.5),Acinetobacter sp. ATCC 27244 ,525244,525244.5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-, Acinetobacter sp. ATCC 27244,,0.96240234375,0.0298750723993549,Human Pathogenic,1.0
Acinetobacter sp. RUH2624 (575564.3),Acinetobacter sp. RUH2624 ,575564,575564.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter nosocomialis, Acinetobacter sp. RUH2624,,0.991455078125,0.0068228460021885,Human Pathogenic,1.0
Acinetobacter sp. SH024 (575565.3),Acinetobacter sp. SH024 ,575565,575565.3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter, Acinetobacter pittii, Acinetobacter sp. SH024,,0.9864501953125,0.0071959387955026,Human Pathogenic,1.0
